"FundingOrgName","ProjectReference","LeadROName","Department","ProjectCategory","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"Innovate UK","105048","CATCHAPP LTD",,"Feasibility Studies","Tesfachew","Tessema","","",,,,"","Artificial Intelligence Meeting Scheduler","01/04/2019","31/12/2019","78057",,"London","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=105048","1B765215-F6C4-4773-A1B6-8089729A82AE","1308DB9B-A8CB-43DC-8754-A44B2F23F8E8","46D70423-4180-498C-86CA-16FBE2C82FA1","67A6D178-1EED-464E-B9AD-454E5571EEF2"
"NERC","2091718","Royal College of Art","School of Communications","Studentship",,,,"","Abbas-Nazari","Amina","","","Artificial Intelligence and Voice","01/10/2018","31/10/2022","0",,"London","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=studentship-2091718","4AEFE70B-2162-4FB7-8759-837D551C51C1","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","05B6C2E5-1EC3-45D1-90E0-08D63143A043",
"Innovate UK","10075135","BY LIFE LTD",,"Grant for R&D","Scott","Chris","","",,,,"","Artificial Intelligence By Life","01/06/2023","30/11/2023","49852",,"London","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=10075135","7F3A6544-82EE-4C4A-B72D-30510B9266D6","1308DB9B-A8CB-43DC-8754-A44B2F23F8E8","D14D1FDD-052B-4D23-9512-4E027AFA91AE","EA03B6EB-D0E5-429E-8BFE-729280D9EC4E"
"Innovate UK","133297","INTELISTYLE LTD",,"Feasibility Studies",,,,"",,,,"","Artificial Intelligence Fashion Stylist","01/02/2018","31/10/2018","115291",,"London","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=133297","3F9BBDD1-4DAB-4453-A603-9B6039BECDD0","1308DB9B-A8CB-43DC-8754-A44B2F23F8E8","6E2E020A-81A0-4563-85FC-C7354A5F0F1E",
"EPSRC","EP/V055712/1","University of Sheffield","Computer Science","Research Grant","Aletras","Nikolaos","","http://orcid.org/0000-0003-4285-1965",,,,"","SAI: Social Explainable Artificial Intelligence","01/02/2021","31/01/2024","293078",,"Yorkshire and The Humber","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/V055712/1","61893A4C-786F-47DC-B33E-34B719C2184A","798CB33D-C79E-4578-83F2-72606407192C","074A2A54-B14B-46AF-80E1-D1024F02ED46","2789C813-B5CA-4C4A-8448-7D93A02B8B65"
"STFC","2824381","University of York","Physics","Studentship",,,,"","Smith","Alexander","","","Artificial intelligence at the EIC","01/04/2023","30/09/2026","0",,"Yorkshire and The Humber","Active","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=studentship-2824381","4E7A6CE5-2CBD-4F49-82D3-13845BA16D65","0FA7FA45-02C9-433E-A750-12A20140208F","7FF630E0-3355-4076-9E47-528D4B0DBCB3",
"FIC","ES/T006315/1","University of Cambridge","Centre For Business Research","Research Grant","Deakin","Simon","","",,,,"","Legal Systems and Artificial Intelligence","31/01/2020","31/12/2023","403446",,"East of England","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/T006315/1","E372E45E-617E-4921-8384-577D8C2747CF","87758059-0E4B-40F8-B97F-7D6DF5EE09F7","8C59383D-467C-4A3E-AF65-4B3F82FD1E27","229A7D56-03EF-4693-8807-2BDE80BBA619"
"Horizon Europe Guarantee","EP/X030806/1","Imperial College London","Electrical and Electronic Engineering","Research Grant","Gunduz","Deniz","","",,,,"","Artificial Intelligence in the Air","01/04/2023","31/03/2028","1722712",,"London","Active","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/X030806/1","259B84BD-4119-476B-846A-CDA1DE4AC535","240CEBFD-1052-4EAC-88DF-D88A163D61C8","4FC4CBFD-9E7C-4518-BB16-852553236FE1","82152AA8-E5F6-40CB-BF7A-07AE1B140E8C"
"EPSRC","2361048","Brunel University London","Civil and Environmental Engineering","Studentship",,,,"","Ghafourian","Matia","","","Artificial Intelligence and Big Data","01/10/2018","30/09/2021","0",,"London","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=studentship-2361048","38E24B9C-0A1B-4F85-BF6F-DAA70618284B","798CB33D-C79E-4578-83F2-72606407192C","46C90259-38AA-4984-B28D-1710C294644B",
"EPSRC","2443528","University of Sheffield","Chemistry","Studentship",,,,"","Catlow","Jasmine","","","Artificial Intelligence-directed Reaction Discovery","26/10/2020","30/06/2024","0",,"Yorkshire and The Humber","Active","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=studentship-2443528","F5B2627D-1FEF-4204-A983-B6D042DAC320","798CB33D-C79E-4578-83F2-72606407192C","074A2A54-B14B-46AF-80E1-D1024F02ED46",
"FIC","AH/S012516/1","Goldsmiths University of London","Inst for Creative & Cultural Entrep ICCE","Research Grant","Murphy","Oonagh","","",,,,"","Museums and Artificial Intelligence Network","01/02/2019","31/01/2020","47937",,"London","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/S012516/1","D5467002-FFF5-4D4E-A4F2-C1372931A334","87758059-0E4B-40F8-B97F-7D6DF5EE09F7","41CC4D03-2561-45AC-A6CC-043CA627F631","35991D90-1FEE-40B9-996E-95686CCD92C8"
"Innovate UK","105339","VISIOPHARM UK LIMITED",,"Collaborative R&D","Wernberg","Thomas","","",,,,"","Augmented Pathology using Artificial Intelligence","01/07/2019","31/07/2020","124790",,"South East","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=105339","9592E63C-7EC1-4DED-9A5D-A3AAC1B975C5","1308DB9B-A8CB-43DC-8754-A44B2F23F8E8","0A33260C-BFDF-4B85-AA83-5EAFF3F5D494","6C89241D-0A20-41BA-9AAE-182683FAE2B2"
"EPSRC","2281597","University of Oxford","Materials","Studentship",,,,"","Severin","Brandon","","","Artificial intelligence for qubit readout","01/10/2019","31/12/2023","0",,"South East","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=studentship-2281597","0ACB4C84-77BA-4956-AEE3-27C680F33224","798CB33D-C79E-4578-83F2-72606407192C","47649064-FCD1-4D7A-A5AA-31B69B9BDFFC",
"NERC","2114731","University of Cambridge","Engineering","Studentship",,,,"","Senior","Alistair","","","Artificial Intelligence Augmented Compressor Design","01/10/2018","30/12/2022","0",,"East of England","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=studentship-2114731","3B5C0988-8AEC-4764-A9DB-6E2166182510","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","8C59383D-467C-4A3E-AF65-4B3F82FD1E27",
